OID_,PerSqFeet,Area,lat,lon,NAME_ENG,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_eng,SDU_IND
1066,11202,848,22.28533,114.21309,WESTLANDS GARDENS BLOCK D,3/1/1975 0:00,0,57679.8,3154.3,60834.1,30,50,52990,0.2,1,0,0,0,0,839995,816264,Eastern,*
1070,12304,894,22.28507,114.2128,WESTLANDS GARDENS BLOCK B,3/1/1975 0:00,0,57679.8,3154.3,60834.1,30,50,52990,0.3,1,0,0,0,0,839965,816248,Eastern,*
1085,14648,512,22.30315,114.17334,SOVEREIGN MANSION,6/1/1975 0:00,0,2796.6,586.7,3383.3,18,49,23660,0.3,1,0,0,0,0,835903,818250,Yau Tsim Mong,*
1088,11339,545,22.2752,114.23108,BRILLIANT COURT,4/1/1975 0:00,0,4535,0,4535,26,49,17960,0.6,1,0,0,1,0,841850,815153,Eastern,*
1090,10961,894,22.28507,114.2128,WESTLANDS GARDENS BLOCK B,3/1/1975 0:00,0,57679.8,3154.3,60834.1,30,50,52990,0.3,1,0,0,0,0,839965,816248,Eastern,*
1091,11839,674,22.28943,114.19397,WAH HOI MANSION - PODIUM,1/1/1975 0:00,0,12445.1,2490.9,14936,2,50,29000,0.1,1,0,0,1,0,838018,816708,Eastern,*
1095,11764,510,22.2857,114.21233,SUNWAY GARDENS BLOCK F,11/1/1974 0:00,0,45532,4424,49956,28,50,19120,0.4,1,0,0,0,0,839921,816317,Eastern,*
1096,11792,848,22.28533,114.21309,WESTLANDS GARDENS BLOCK D,3/1/1975 0:00,0,57679.8,3154.3,60834.1,30,50,52990,0.2,1,0,0,0,0,839995,816264,Eastern,*
1097,13023,668,22.28968,114.19735,JADE MANSION,2/1/1975 0:00,0,6571.7,303.4,6875.1,27,50,40500,0.4,1,0,0,1,0,838375,816757,Eastern,*
1100,12397,563,22.28589,114.21174,SUNWAY GARDENS BLOCK C,11/1/1974 0:00,0,45532,4424,49956,28,50,19120,0.3,1,0,0,0,0,839856,816341,Eastern,*
1106,14150,848,22.28506,114.21337,WESTLANDS GARDENS BLOCK C,3/1/1975 0:00,0,57679.8,3154.3,60834.1,30,50,52990,0.2,1,0,0,0,0,840028,816235,Eastern,*
1109,12041,681,22.28943,114.19397,WAH HOI MANSION - PODIUM,1/1/1975 0:00,0,12445.1,2490.9,14936,2,50,29000,0.1,1,0,0,1,0,838018,816708,Eastern,*
1113,16597,482,22.28496,114.19265,SUN YING MANSION,1/1/1975 0:00,0,2209.4,493.5,2702.9,21,50,23660,0.3,1,0,0,1,0,837898,816228,Eastern,*
1114,12368,663,22.29001,114.19727,KAVA MANSION,3/1/1975 0:00,0,3359.8,707.3,4067.1,27,50,26780,0.4,1,0,0,1,0,838370,816778,Eastern,*
1116,11744,894,22.2849,114.21309,WESTLANDS GARDENS BLOCK A,3/1/1975 0:00,0,57679.8,3154.3,60834.1,30,50,52990,0.2,1,0,0,0,0,839993,816229,Eastern,*
